Datum;Datenbank;RowsRead;RowsWritten;BytesSynced;StorageBytes
06.08.2026;munotstadtmeteodb;303336;201323;0;0
06.08.2026;munotstadtsecuritydb;8153;605;0;0
07.08.2026;munotstadtmeteodb;339374;2241;0;0
07.08.2026;munotstadtsecuritydb;278964;73970;0;0
08.08.2026;munotstadtenergydb;0;0;0;0
08.08.2026;munotstadtmeteodb;294717;2476;0;0
08.08.2026;munotstadtsecuritydb;53173;7218;0;0
09.08.2026;munostadtadtseetstrasse52bdb;317;30;0;0
09.08.2026;munotstadtenergydb;6867;2640;0;0
09.08.2026;munotstadtmeteodb;76853;2262;0;0
09.08.2026;munotstadtsecuritydb;1273749;455;0;0
10.08.2026;munostadtadtseetstrasse52bdb;80637;35083;0;0
10.08.2026;munotstadtenergydb;0;0;0;0
10.08.2026;munotstadtmeteodb;77164;2271;0;0
10.08.2026;munotstadtsecuritydb;781596;19239;0;0
11.08.2026;munostadtadtseetstrasse52bdb;32288;194;0;0
11.08.2026;munotstadtenergydb;6321;33;0;0
11.08.2026;munotstadtmeteodb;253639;2504;0;0
11.08.2026;munotstadtsecuritydb;2633396;36897;0;0
12.08.2026;munostadtadtseetstrasse52bdb;15679;5;0;1118208
12.08.2026;munotstadtenergydb;2098;0;0;0
12.08.2026;munotstadtmeteodb;153043;2525;0;0
12.08.2026;munotstadtsecuritydb;2715391;42245;0;0
13.08.2026;munostadtadtseetstrasse52bdb;15683;5;0;1118208
13.08.2026;munotstadtenergydb;2098;0;0;0
13.08.2026;munotstadtmeteodb;153496;2536;0;0
13.08.2026;munotstadtsecuritydb;14561639;319750;0;0
14.08.2026;munostadtadtseetstrasse52bdb;15752;5;0;1118208
14.08.2026;munotstadtenergydb;2098;0;0;0
14.08.2026;munotstadtmeteodb;146037;2308;0;0
14.08.2026;munotstadtsecuritydb;39395955;148311;0;0
15.08.2026;munostadtadtseetstrasse52bdb;20285;93;0;1126400
15.08.2026;munotstadtenergydb;5376;38;0;0
15.08.2026;munotstadtmeteodb;154432;2551;0;0
15.08.2026;munotstadtsecuritydb;16161849;1790;0;0
16.08.2026;munostadtadtseetstrasse52bdb;15813;5;0;1126400
16.08.2026;munotstadtenergydb;85137;3702;0;0
16.08.2026;munotstadtmeteodb;171081;3029;0;0
16.08.2026;munotstadtsecuritydb;8885580;23513;0;0
17.08.2026;munostadtadtseetstrasse52bdb;283840;12501;0;1544192
17.08.2026;munotstadtenergydb;4438;0;0;278528
17.08.2026;munotstadtmeteodb;174780;3004;0;3563520
17.08.2026;munotstadtsecuritydb;28686522;5800;40775680;20455424
18.08.2026;munostadtadtseetstrasse52bdb;52985;5;0;1544192
18.08.2026;munotstadtenergydb;4438;0;0;278528
18.08.2026;munotstadtmeteodb;149877;2343;0;3567616
18.08.2026;munotstadtsecuritydb;12990254;13029;0;20762624
19.08.2026;munostadtadtseetstrasse52bdb;136155;5;0;1544192
19.08.2026;munotstadtenergydb;4438;0;0;278528
19.08.2026;munotstadtmeteodb;167722;2828;0;3571712
19.08.2026;munotstadtsecuritydb;31885847;153614;0;30695424
20.08.2026;munostadtadtseetstrasse52bdb;97394;165;0;1552384
20.08.2026;munotstadtenergydb;5158;30;0;299008
20.08.2026;munotstadtmeteodb;167232;2849;0;3579904
20.08.2026;munotstadtsecuritydb;27654977;88469;0;33443840
21.08.2026;munostadtadtseetstrasse52bdb;20273;5;0;1552384
21.08.2026;munotstadtenergydb;29278;2219;0;339968
21.08.2026;munotstadtmeteodb;167773;2856;0;3584000
21.08.2026;munotstadtsecuritydb;21229827;94985;0;36794368
22.08.2026;munostadtadtseetstrasse52bdb;30439;5;0;1552384
22.08.2026;munotstadtenergydb;24256;464;0;397312
22.08.2026;munotstadtmeteodb;159953;2629;0;3588096
22.08.2026;munotstadtsecuritydb;6085803;2702;0;36663296
