Datum;Datenbank;RowsRead;RowsWritten;BytesSynced;StorageBytes
06.08.2026;munotstadtmeteodb;303336;201323;0;0
06.08.2026;munotstadtsecuritydb;8153;605;0;0
07.08.2026;munotstadtmeteodb;339374;2241;0;0
07.08.2026;munotstadtsecuritydb;278964;73970;0;0
08.08.2026;munotstadtenergydb;0;0;0;0
08.08.2026;munotstadtmeteodb;294717;2476;0;0
08.08.2026;munotstadtsecuritydb;53173;7218;0;0
09.08.2026;munostadtadtseetstrasse52bdb;317;30;0;0
09.08.2026;munotstadtenergydb;6867;2640;0;0
09.08.2026;munotstadtmeteodb;76853;2262;0;0
09.08.2026;munotstadtsecuritydb;1273749;455;0;0
10.08.2026;munostadtadtseetstrasse52bdb;80637;35083;0;0
10.08.2026;munotstadtenergydb;0;0;0;0
10.08.2026;munotstadtmeteodb;77164;2271;0;0
10.08.2026;munotstadtsecuritydb;781596;19239;0;0
11.08.2026;munostadtadtseetstrasse52bdb;32288;194;0;0
11.08.2026;munotstadtenergydb;6321;33;0;0
11.08.2026;munotstadtmeteodb;253639;2504;0;0
11.08.2026;munotstadtsecuritydb;2633396;36897;0;0
12.08.2026;munostadtadtseetstrasse52bdb;15679;5;0;1118208
12.08.2026;munotstadtenergydb;2098;0;0;0
12.08.2026;munotstadtmeteodb;153043;2525;0;0
12.08.2026;munotstadtsecuritydb;2715391;42245;0;0
13.08.2026;munostadtadtseetstrasse52bdb;15683;5;0;1118208
13.08.2026;munotstadtenergydb;2098;0;0;0
13.08.2026;munotstadtmeteodb;153496;2536;0;0
13.08.2026;munotstadtsecuritydb;14561639;319750;0;0
14.08.2026;munostadtadtseetstrasse52bdb;15752;5;0;1118208
14.08.2026;munotstadtenergydb;2098;0;0;0
14.08.2026;munotstadtmeteodb;146037;2308;0;0
14.08.2026;munotstadtsecuritydb;39395955;148311;0;0
